No.,Category,Feature,Description,Who Uses It,API Endpoint,Status
32,Teacher Tools,Question Paper Generator,Generates CBSE-format question papers with marks distribution and section layout.,Teacher,POST /api/question-paper/generate,Done
33,Teacher Tools,Lesson Plan Generator,AI generates detailed lesson plans with objectives / activities / assessment.,Teacher,POST /api/lesson-plan/generate,Done
34,Teacher Tools,Parent Message Generator,Drafts individual parent messages for attendance / academic / behaviour issues.,Teacher,POST /api/parent-message/generate,Done
35,Teacher Tools,Bulk Parent Messages,Generate personalised messages for an entire class at once.,Teacher,POST /api/parent-message/bulk,Done
36,Teacher Tools,Bulk Assignment Grader,Grade up to 30 student answers at once — returns individual scores + class average.,Teacher,POST /api/grading/bulk,Done
37,Teacher Tools,Personalised Student Feedback,AI writes detailed personalised feedback for a single student.,Teacher,POST /api/grading/feedback,Done
38,Teacher Tools,Grading History,Browse past bulk grading sessions.,Teacher,GET /api/grading/results,Done
39,Teacher Tools,Announcement Generator,Generate school announcements in formal / WhatsApp / SMS / notice board formats.,Teacher / Admin,POST /api/announcement/generate,Done
40,Teacher Tools,Announcement History,Browse and copy past announcements.,Teacher / Admin,GET /api/announcement,Done
41,Admin Tools,Fee Reminder System,Track student fees — overdue / partial / paid — and send email reminders.,Admin,GET /api/fees,Done
42,Admin Tools,Bulk Email Campaign,Send personalised reminder emails to many recipients at once.,Admin,POST /api/emails/send-bulk,Done
43,Admin Tools,Email Stats,Track opens / delivery for email campaigns.,Admin,GET /api/emails/stats,Done
44,Admin Tools,Admission Bot,AI chatbot answers prospective parent inquiries automatically.,Admin,POST /api/admission/chat,Done
45,Admin Tools,Admission Lead Capture,Saves inquiry details as leads with contact info.,Admin,POST /api/admission/lead,Done
46,Admin Tools,Attendance Logging,Log individual or bulk attendance with date and status.,Admin / Teacher,POST /api/attendance/log,Done
47,Admin Tools,At-risk Attendance Alerts,Flags students below attendance threshold.,Admin / Teacher,GET /api/attendance/at-risk,Done
48,Admin Tools,Timetable Generator,Create school timetable with period / subject / teacher assignment.,Admin,POST /api/timetable/generate,Done
49,Admin Tools,Clash Detection,Detects scheduling conflicts in the timetable automatically.,Admin,GET /api/timetable/clashes,Done
50,Multi-tenant Platform,School Registration,Register a school — generates a unique XXXXXX-XXXXXX-XXXXXX passcode shown once.,Admin,POST /api/schools/register,Done
51,Multi-tenant Platform,School Passcode Join,Students and teachers enter the school name + passcode to join.,All,POST /api/users/register,Done
52,Multi-tenant Platform,Supabase JWT Auth,Sign up / login via Supabase Auth. JWT returned immediately after register — no email confirm step.,All,POST /api/users/login,Done
53,Multi-tenant Platform,Role-based Access Control,Student / Teacher / Admin roles enforced at middleware level on every route.,All,requireRole() middleware,Done
54,Multi-tenant Platform,Row Level Security,Supabase RLS ensures users can only read their own school's data at the DB level.,All,Supabase RLS policies,Done
55,Multi-tenant Platform,Multi-tenant Notes,Create / edit / delete notes scoped to the user. Search by subject or keyword.,Student,POST /api/notes,Done
56,Multi-tenant Platform,Notes PDF Download,Download any note as a beautifully formatted A4 PDF via pdfkit.,Student,GET /api/notes/:id/pdf,Done
57,Multi-tenant Platform,School Notifications,Teachers send announcements to the whole school or a specific role. Auto-expire after 12 h.,Teacher / Admin,POST /api/notifications,Done
58,Multi-tenant Platform,Notification Auto-cleanup,node-cron job runs every hour and hard-deletes expired notifications.,System,src/jobs/cleanup.js,Done
59,Multi-tenant Platform,School Logo Upload,Upload school logo as base64 → stored in Supabase Storage → URL saved to school record.,Admin,POST /api/schools/:id/upload-logo,Done
60,Multi-tenant Platform,School Stats Dashboard,Real-time counts of total users / students / teachers / notes / active notifications.,Admin,GET /api/schools/:id/stats,Done
61,Multi-tenant Platform,Session Restore (offline),App validates JWT on load. If backend is down uses cached profile — never stuck on loading.,All,App.tsx restoreSession(),Done
62,Platform / UX,11 AI Models via OpenRouter,Smart model routing — picks GPT-4o / Claude / Llama / Gemini based on task type.,All,src/utils/ai.js,Done
63,Platform / UX,Always-mounted Pages,All 20+ pages mount once in CSS display:none — navigation is instant with no re-render.,All,Dashboard.tsx pageStyle(),Done
64,Platform / UX,Dark Theme UI,Fully dark themed (#0a0a0a base) with indigo accent glow effects across all pages.,All,index.css,Done
65,Platform / UX,Landing Page,HTML landing page with hero / stats / 24 feature cards / role-based sections / CTA.,Marketing,/public/landing.html,Done
66,Platform / UX,Rate Limiting,Express rate limiter on all API routes — prevents abuse.,System,middleware/rateLimit.js,Done
67,Platform / UX,Supabase Not Configured Guard,requireSupabase middleware returns 503 with clear hint instead of crashing with fetch failed.,System,services/supabase.js,Done
